Country_cat;Intercompany_cat;Overdue_cat;Agegroup_cat; Value ;Period_cat; target
Nordics;Y;No;0-30;9637350;Q4;-225.2800866184468
Nordics;Y;No;31-60;5835457;Q4;2.4962523622422523
Nordics;Y;Yes;31-60;7004235;Q4;123.42185196111441
Switzerland;Y;No;0-30;9040624;Q4;-137.13946994076468
Switzerland;Y;No;31-60;2383255;Q4;38.090013700572754
Switzerland;Y;Yes;31-60;1612478;Q4;101.22546169592742
Switzerland;Y;Yes;91-120;8733471;Q4;119.04153957574111
JV;Y;No;0-30;2178844;Q4;-85.07993785725897
JV;Y;Yes;0-30;7698034;Q4;118.96273960867214
JV;Y;Yes;120+;1925832;Q4;91.35005965541862
JV;Y;Yes;31-60;6990429;Q4;185.152447428622
JV;Y;Yes;61-90;7971975;Q4;133.77969242019472
Iberia;N;No;91-120;3577834;Q4;20.984659956018263
Iberia;N;Yes;120+;2616169;Q4;90.68097976775466
France;N;No;0-30;96136927;Q4;75.90334116043536
France;N;No;120+;1186178;Q4;213.95192826666027
France;N;No;31-60;11401650;Q4;-15.912784152767397
France;N;Yes;0-30;9062453;Q4;91.81464739659572
France;N;Yes;120+;21222373;Q4;113.75972599243806
France;N;Yes;31-60;22862133;Q4;128.71066571566263
France;N;Yes;61-90;3544248;Q4;68.58777162411502
France;N;Yes;91-120;8025907;Q4;127.30390310896843
JV;N;No;0-30;20521958;Q4;-72.62222564855276
JV;N;No;31-60;17693634;Q4;54.977777004592
JV;N;Yes;0-30;10182950;Q4;153.27683714327267
JV;N;Yes;120+;5691898;Q4;133.413079535919
JV;N;Yes;31-60;2115034;Q4;111.74478828934586
JV;N;Yes;61-90;4321544;Q4;117.93070217573869
JV;N;Yes;91-120;9201123;Q4;101.6588588075679
Iberia;Y;No;61-90;3991380;Q4;45.1259684679052
Iberia;Y;Yes;0-30;9376204;Q4;113.04785022997176
Iberia;Y;Yes;120+;1656602;Q4;94.5270845999681
France;Y;No;0-30;30436530;Q4;94.7994550135802
France;Y;No;31-60;3339249;Q4;-74.4811210494731
France;Y;Yes;0-30;1900887;Q4;155.32482119204246
France;Y;Yes;120+;10693126;Q4;113.74017800808826
France;Y;Yes;31-60;9096368;Q4;106.6760735652705
France;Y;Yes;61-90;3833154;Q4;117.2466060297129
France;Y;Yes;91-120;4401452;Q4;126.75037442707533
JV;Y;No;0-30;11674326;Q4;97.83921500791308
JV;Y;No;31-60;8706461;Q4;-60.83387808168216
JV;Y;Yes;120+;6507020;Q4;108.33501151731855
JV;Y;Yes;31-60;3180791;Q4;157.27245229260544
JV;Y;Yes;61-90;3212655;Q4;110.13905690548054
JV;Y;Yes;91-120;5055680;Q4;110.66247676085351
Serbia;N;No;0-30;13099855;Q4;29.85078289910936
Serbia;N;No;31-60;6650907;Q4;117.7358139819404
Serbia;N;No;61-90;2145409;Q4;-138.87088653123664
Serbia;N;Yes;0-30;8929689;Q4;88.52521266844411
Serbia;N;Yes;120+;7123477;Q4;101.49769452967021
Serbia;N;Yes;31-60;9212664;Q4;109.36459072923331
Serbia;N;Yes;61-90;5805433;Q4;114.48131219580898
Serbia;N;Yes;91-120;2132006;Q4;126.36537658690918
CEE;N;No;0-30;27869617;Q4;-41.98588773198588
CEE;N;No;31-60;10901847;Q4;336.66740316624737
CEE;N;No;61-90;984479;Q4;86.56295261603682
CEE;N;Yes;0-30;5610477;Q4;120.58247689400949
CEE;N;Yes;120+;9739692;Q4;159.99039029430992
CEE;N;Yes;31-60;11787112;Q4;107.6116158683668
CEE;N;Yes;61-90;6005010;Q4;94.94190140652822
CEE;N;Yes;91-120;570033;Q4;119.13176017145318
Serbia;Y;No;0-30;9650542;Q4;-16.701757404658263
Serbia;Y;No;31-60;4585681;Q4;98.53524460417022
Serbia;Y;Yes;120+;2624365;Q4;133.83215063184608
Serbia;Y;Yes;31-60;7137265;Q4;91.61376473543625
Serbia;Y;Yes;61-90;6365411;Q4;134.1266965843938
Serbia;Y;Yes;91-120;3188650;Q4;100.7484398651668
CEE;Y;No;0-30;7771263;Q4;120.80145547903943
CEE;Y;No;31-60;3944828;Q4;-155.03990796451097
CEE;Y;Yes;120+;9518036;Q4;146.8012413892306
CEE;Y;Yes;31-60;3514006;Q4;109.40707784966636
CEE;Y;Yes;61-90;1193519;Q4;109.96379431747205
CEE;Y;Yes;91-120;9150265;Q4;141.9147650576101
Nordics;N;No;0-30;19110645;Q4;-59.44108751049951
Nordics;N;No;120+;7167781;Q4;-158.37091175291312
Nordics;N;No;31-60;9735091;Q4;-62.611718602041705
Nordics;N;No;61-90;2482280;Q4;64.21969685962702
Nordics;N;No;91-120;306905;Q4;106.9201917410108
Nordics;N;Yes;0-30;9152268;Q4;118.23161805944571
Nordics;N;Yes;120+;4720617;Q4;94.21058090973875
Nordics;N;Yes;31-60;7224612;Q4;144.32075543926553
Nordics;N;Yes;61-90;7504249;Q4;130.70774819785532
Nordics;N;Yes;91-120;5298474;Q4;110.90302925676849
JV;N;No;0-30;13794143;Q4;219.75379776803626
Nordics;Y;No;0-30;10852871;Q4;-119.59647889780905
Nordics;Y;Yes;0-30;4740804;Q4;86.33293478154418
JV;Y;No;0-30;22394217;Q4;11.615681149882342
JV;Y;Yes;0-30;6184687;Q4;96.17191409527268
JV;Y;Yes;120+;8643195;Q4;119.93097230225199
JV;Y;Yes;31-60;4677463;Q4;157.3434948783628
JV;Y;Yes;61-90;7736876;Q4;113.58799526884506
JV;Y;Yes;91-120;1958473;Q4;109.58241418914997
JV;Y;No;0-30;24515124;Q4;-82.3039998149499
JV;Y;Yes;0-30;13898922;Q4;114.54337276081984
JV;Y;Yes;120+;3101939;Q4;99.16983910369174
JV;Y;Yes;31-60;4280207;Q4;118.64676957319512
JV;Y;Yes;91-120;1916763;Q4;114.44553564588601
JV;N;No;0-30;8674332;Q4;161.96361682890586
JV;N;No;0-30;2002638;Q4;-32.8333679230269
JV;N;Yes;0-30;2045069;Q4;110.16611063625881
JV;N;Yes;120+;8922741;Q4;120.85352056427728
JV;N;Yes;31-60;3160697;Q4;132.42160965464996
JV;N;Yes;91-120;9790145;Q4;147.72012291029324
JV;Y;No;0-30;29531430;Q4;40.261498555996816
JV;Y;Yes;120+;637397;Q4;138.95766324004074
JV;Y;Yes;31-60;9297818;Q4;130.6814668498923
JV;Y;Yes;61-90;689469;Q4;116.10271847795971
JV;Y;Yes;91-120;3478220;Q4;126.66696037025952
JV;Y;No;0-30;11270606;Q4;-7.517075902251232
JV;Y;No;31-60;925766;Q4;78.04289991296636
JV;Y;Yes;0-30;2708663;Q4;117.1712053240119
JV;Y;Yes;31-60;9287869;Q4;141.29026358973394
JV;Y;Yes;61-90;6979311;Q4;125.10318656897348
Adriatic;N;No;0-30;14161434;Q4;-0.2634040694780069
Adriatic;N;No;31-60;6586551;Q4;39.7166419749678
Adriatic;N;No;61-90;1882621;Q4;-81.37819317696496
Adriatic;N;Yes;0-30;1311477;Q4;122.47439380666351
Adriatic;N;Yes;120+;2966788;Q4;118.3085105679288
Adriatic;N;Yes;31-60;7328547;Q4;92.31096638344435
Adriatic;N;Yes;61-90;9033634;Q4;130.45242679366328
Adriatic;N;Yes;91-120;626153;Q4;105.38982024866678
CISregion;N;No;0-30;23887470;Q4;117.25105224785726
CISregion;N;No;31-60;1989630;Q4;69.02825930372796
CISregion;N;Yes;0-30;-375284;Q4;-468.52795038749304
CISregion;N;Yes;120+;4131719;Q4;102.02750623654481
CISregion;N;Yes;31-60;6786473;Q4;117.54262813488224
CISregion;N;Yes;61-90;7814830;Q4;148.86338871864746
CISregion;N;Yes;91-120;2698851;Q4;113.83593533696765
CISregion;N;No;0-30;18448023;Q4;-69.50665360862476
CISregion;N;No;31-60;6794070;Q4;22.274935668404613
CISregion;N;Yes;0-30;4221039;Q4;128.38505979711113
CISregion;N;Yes;120+;7890342;Q4;121.97561795795404
CISregion;N;Yes;31-60;1787421;Q4;115.13059786872083
CISregion;N;Yes;61-90;6125831;Q4;99.55982880585643
CISregion;N;Yes;91-120;4665262;Q4;110.74694359552691
Adriatic;Y;No;0-30;9864196;Q4;138.91880162496736
Adriatic;Y;Yes;120+;8807786;Q4;152.5381422241699
Adriatic;Y;Yes;31-60;3430193;Q4;112.06793569305432
Adriatic;Y;Yes;61-90;659263;Q4;142.51197341794636
Adriatic;Y;Yes;91-120;8666294;Q4;124.42508480714287
CISregion;Y;No;0-30;18545751;Q4;-69.61928281944527
CISregion;Y;No;31-60;5350922;Q4;23.273690238260983
CISregion;Y;Yes;120+;6846234;Q4;73.09830313164643
CISregion;Y;Yes;31-60;5227062;Q4;74.40527606589151
CISregion;Y;Yes;61-90;2565046;Q4;100.84995808477524
CISregion;Y;Yes;91-120;7634616;Q4;122.14753516272214
CISregion;Y;No;0-30;9575828;Q4;-28.15255473148463
CISregion;Y;No;31-60;5510922;Q4;-1.748962375415502
CISregion;Y;Yes;0-30;3657223;Q4;126.37479737234825
CISregion;Y;Yes;120+;8082388;Q4;139.90462020715762
CISregion;Y;Yes;31-60;3133221;Q4;81.79590518606523
CISregion;Y;Yes;61-90;8525278;Q4;141.62720636012762
CISregion;Y;Yes;91-120;8678842;Q4;95.93080718347879
France;N;No;0-30;78795364;Q4;61.972203645781676
France;N;No;31-60;17465173;Q4;156.37622823460302
France;N;Yes;0-30;5068528;Q4;107.75670647201397
France;N;Yes;120+;6336086;Q4;121.55385244835807
France;N;Yes;31-60;8672973;Q4;123.93640719529998
France;N;Yes;61-90;10194907;Q4;110.29579703431628
France;N;Yes;91-120;6638968;Q4;102.70676005068132
France;N;No;31-60;4149532;Q4;12.331879746901729
France;N;Yes;120+;841530;Q4;119.64674761794612
France;N;Yes;31-60;3507710;Q4;140.1746940117831
France;N;Yes;91-120;7027765;Q4;124.05685042263529
France;N;No;0-30;3490041;Q4;-9.506561418187562
France;N;Yes;0-30;2933696;Q4;118.75183819986262
France;N;Yes;120+;10084460;Q4;109.20832613580056
France;N;Yes;31-60;2839287;Q4;137.70701529088652
France;N;Yes;61-90;5010412;Q4;142.3726551055501
France;N;Yes;91-120;7456487;Q4;89.41791955592541
France;N;No;0-30;10657716;Q4;6.3683003733951935
France;N;No;31-60;3559951;Q4;107.50985253017932
France;N;Yes;0-30;1021608;Q4;82.12515049490719
France;N;Yes;120+;6360475;Q4;121.1296766988135
France;N;Yes;31-60;8328885;Q4;94.17525520728951
France;N;Yes;61-90;1269469;Q4;95.33099590217199
France;N;Yes;91-120;6909654;Q4;110.81853880062096
France;N;No;0-30;18018548;Q4;75.90932319854157
France;N;No;31-60;8519142;Q4;74.52448563608564
France;N;Yes;0-30;2560398;Q4;141.60478624365678
France;N;Yes;120+;6693738;Q4;52.664212299705156
France;N;Yes;31-60;3582258;Q4;104.24012725399048
France;N;Yes;61-90;1233852;Q4;107.19166510330791
France;N;Yes;91-120;7709141;Q4;109.32044801589728
France;Y;No;0-30;6515504;Q4;84.73107522768731
France;Y;Yes;120+;617609;Q4;118.76104637840066
France;Y;Yes;31-60;6332515;Q4;97.45199221814039
France;Y;Yes;61-90;2044872;Q4;123.51518135826302
France;Y;No;0-30;2597296;Q4;-40.238978004925784
France;Y;No;0-30;2489758;Q4;-21.777415456540176
France;Y;No;0-30;9104928;Q4;-133.1855822173968
France;Y;No;0-30;5272173;Q4;124.23588126715362
France;Y;No;0-30;17099740;Q4;159.37304420389125
France;Y;No;31-60;6996247;Q4;27.497013293578778
France;Y;Yes;120+;4035678;Q4;106.66250149223127
France;Y;Yes;61-90;1062091;Q4;117.86576641977089
France;Y;No;0-30;8087348;Q4;123.19087140387303
France;Y;Yes;120+;9969872;Q4;90.63044517023454
France;Y;Yes;61-90;1110838;Q4;104.75837459267687
France;Y;Yes;91-120;4559548;Q4;140.31895886727438
JV;Y;No;0-30;4870608;Q4;111.39276371929438
JV;Y;No;0-30;12094526;Q4;-77.5861813332738
JV;N;Yes;120+;3611576;Q4;145.97725955331305
JV;Y;No;0-30;2542761;Q4;-58.55514562672715
JV;Y;Yes;0-30;7157542;Q4;116.52099154344049
JV;Y;No;0-30;2204533;Q4;-159.87480419299936
JV;Y;No;0-30;7760215;Q4;-50.84296661745091
JV;Y;No;31-60;6533585;Q4;-99.16891648068236
JV;Y;Yes;31-60;7436740;Q4;131.46116165132827
CISregion;N;No;0-30;6964436;Q4;-43.46877219261757
CISregion;N;Yes;0-30;8652252;Q4;104.17207371048681
CISregion;N;Yes;120+;6751802;Q4;174.36935570251697
CISregion;N;Yes;31-60;2760612;Q4;145.85677912369815
CISregion;N;No;0-30;26307827;Q4;1.561766278736643
CISregion;N;No;31-60;11570652;Q4;32.808958074977305
CISregion;N;No;61-90;782767;Q4;10.995581943400364
CISregion;N;Yes;0-30;1724625;Q4;94.59562967196884
CISregion;N;Yes;120+;6186958;Q4;94.3717061561017
CISregion;N;Yes;31-60;6694084;Q4;129.72754524298207
CISregion;N;Yes;61-90;873174;Q4;107.81849264936145
CISregion;N;Yes;91-120;4893265;Q4;88.83853137617862
CISregion;N;No;0-30;7810948;Q4;-91.04316223454657
CISregion;N;No;31-60;8940193;Q4;52.90798542839387
CISregion;N;Yes;0-30;5183004;Q4;140.52612186110431
CISregion;N;Yes;120+;9363801;Q4;138.44936136266023
CISregion;N;Yes;31-60;2962299;Q4;83.5050803709554
CISregion;N;Yes;61-90;7165069;Q4;111.37974481306232
CISregion;N;Yes;91-120;8913274;Q4;166.88893046213286
CISregion;N;No;0-30;9727274;Q4;-89.95724230024024
CISregion;N;Yes;0-30;2442466;Q4;116.07942298357811
CISregion;N;Yes;120+;1849903;Q4;79.1566803432585
CISregion;N;Yes;31-60;7267498;Q4;101.07924925239571
CISregion;Y;No;0-30;14318545;Q4;104.88439783893091
CISregion;Y;No;31-60;12878541;Q4;-19.9249855203803
CISregion;Y;Yes;0-30;4235562;Q4;110.47133468823544
CISregion;Y;Yes;31-60;13305993;Q4;136.09180856687857
CISregion;Y;Yes;61-90;9635042;Q4;106.37151383966273
CISregion;Y;Yes;91-120;7051732;Q4;112.46599491443989
CISregion;Y;No;0-30;2177958;Q4;-150.11050795019776
CISregion;Y;No;61-90;3607319;Q4;-24.121199972816278
CISregion;Y;Yes;0-30;4609433;Q4;90.38234797850328
CISregion;Y;Yes;120+;418985;Q4;113.13718330857722
CISregion;Y;Yes;31-60;908442;Q4;96.5385297618838
CISregion;Y;No;0-30;8848001;Q4;12.499332634754602
CISregion;Y;No;31-60;11638689;Q4;-57.8306515825496
CISregion;Y;Yes;0-30;152642;Q4;137.83049367600762
CISregion;Y;Yes;31-60;4342833;Q4;123.69776617869476
CISregion;Y;Yes;61-90;697014;Q4;81.23632905813989
CISregion;Y;No;0-30;7279557;Q4;181.96672962310583
CISregion;Y;No;31-60;7262737;Q4;124.57737317067512
CISregion;Y;Yes;120+;8622817;Q4;101.47607822439676
CISregion;Y;Yes;31-60;7610138;Q4;135.55569604551775
CISregion;Y;Yes;61-90;5149923;Q4;129.24673000885764
CISregion;Y;Yes;91-120;4587804;Q4;128.83926806304964
France;N;No;0-30;922258;Q4;-46.084228599071565
France;N;Yes;0-30;6098772;Q4;126.86090216141979
France;N;Yes;61-90;435113;Q4;120.44391469070473
France;N;Yes;91-120;9067807;Q4;123.99131673402616
France;N;No;0-30;6914177;Q4;185.01890539273205
France;N;No;31-60;62194;Q4;71.46781686717992
France;N;Yes;0-30;4476814;Q4;113.5432054586088
France;N;Yes;120+;9090108;Q4;96.91123318517536
France;N;Yes;61-90;8820406;Q4;76.77179670300359
France;N;Yes;91-120;7507569;Q4;100.57904284610638
CISregion;N;No;0-30;9782200;Q4;87.64161452193127
CISregion;N;No;31-60;11504548;Q4;34.82308087741016
CISregion;N;No;61-90;6195484;Q4;166.21219940799304
CISregion;N;Yes;0-30;4402694;Q4;103.85980039380813
CISregion;N;Yes;120+;8990452;Q4;110.68310584314233
CISregion;N;Yes;31-60;12982556;Q4;111.75515261431958
CISregion;N;Yes;61-90;679162;Q4;140.48934469051545
CISregion;N;Yes;91-120;3872273;Q4;114.58925738770021
CISregion;N;No;0-30;3824768;Q4;-96.4593743709825
CISregion;N;Yes;0-30;1073876;Q4;108.06149203027591
CISregion;N;Yes;31-60;7059211;Q4;89.71905022472203
France;Y;No;0-30;22254119;Q4;139.36260785637586
France;Y;Yes;0-30;5704485;Q4;132.78132928342544
France;Y;Yes;120+;5742472;Q4;98.08705764740476
France;Y;Yes;61-90;8313317;Q4;110.93231930617884
France;Y;No;0-30;94696845;Q4;159.65251960596427
France;Y;No;31-60;4532422;Q4;-141.2050084926467
France;Y;Yes;0-30;9538310;Q4;131.1803456062859
France;Y;Yes;120+;7995847;Q4;116.05150373907061
France;Y;Yes;31-60;288938;Q4;110.440205904502
France;Y;Yes;61-90;6323165;Q4;120.58161851006368
France;Y;Yes;91-120;12033484;Q4;148.8331784759842
CISregion;Y;No;0-30;8737384;Q4;-114.93423943720231
CISregion;Y;No;120+;4341596;Q4;-49.139702111521366
CISregion;Y;No;31-60;1078131;Q4;9.278165882811255
CISregion;Y;No;91-120;7322195;Q4;-108.66059162616389
CISregion;Y;No;0-30;25371109;Q4;-77.87041200068248
CISregion;Y;No;31-60;4718398;Q4;-7.763604550273934
CISregion;Y;Yes;0-30;8268281;Q4;89.15139222437271
CISregion;Y;Yes;31-60;1882759;Q4;68.30513281385709
CISregion;Y;No;0-30;4887715;Q4;102.19272856328624
CISregion;Y;No;31-60;3823148;Q4;-11.810375779962593
CISregion;Y;No;61-90;4102289;Q4;-59.17423615883453
CISregion;Y;Yes;91-120;9086885;Q4;133.5986780046145
Belgium;N;No;0-30;10444566;Q4;90.16300936784835
Belgium;N;No;31-60;9497311;Q4;112.87129357601563
Belgium;N;No;61-90;5952804;Q4;-1.132503923194303
Belgium;N;No;91-120;1936748;Q4;80.90531104563337
Belgium;N;Yes;0-30;2940011;Q4;124.07773195848478
Belgium;N;Yes;120+;9711346;Q4;140.39374216573162
Belgium;N;Yes;31-60;1860026;Q4;82.35029451362792
Belgium;N;Yes;61-90;10071684;Q4;99.02434919631398
Belgium;N;Yes;91-120;5765080;Q4;89.43045659343231
Belgium;N;No;0-30;6497855;Q4;179.86079699038388
Belgium;N;Yes;0-30;433732;Q4;110.92723806773279
Belgium;N;Yes;120+;1744691;Q4;101.4883926515109
Belgium;N;Yes;31-60;45805;Q4;108.16281573993486
Belgium;N;Yes;61-90;1510106;Q4;91.46145531912805
Belgium;N;Yes;91-120;2844924;Q4;145.7765061750959
France;N;No;31-60;2219995;Q4;204.4842651983678
France;N;No;0-30;8188207;Q4;-0.31373292712387624
France;N;No;31-60;377229;Q4;24.053181525643637
France;N;Yes;0-30;8543259;Q4;108.28656189183623
France;N;Yes;120+;6710074;Q4;105.02020500412034
France;N;Yes;61-90;5616676;Q4;115.38463117804689
France;N;Yes;91-120;4260669;Q4;99.44264452516875
France;Y;No;0-30;36345405;Q4;24.785031302169152
France;Y;No;31-60;6534007;Q4;-18.683159610259874
France;Y;Yes;61-90;5733518;Q4;112.55623432938857
Switzerland;N;Yes;31-60;8495073;Q4;99.85241449828715
Belgium;N;No;0-30;20420100;Q4;56.635018427693495
Belgium;N;No;31-60;13299083;Q4;-80.46873277083144
Belgium;N;No;61-90;2164969;Q4;81.80520803834578
Belgium;N;No;91-120;4531367;Q4;-154.7579496200835
Belgium;N;Yes;0-30;5289712;Q4;116.98182369668206
Belgium;N;Yes;120+;7146175;Q4;102.40993092616111
Belgium;N;Yes;31-60;6483111;Q4;118.01897102066742
Belgium;N;Yes;61-90;9327809;Q4;155.33615888184355
Belgium;N;Yes;91-120;7055281;Q4;116.51000699229024
Switzerland;N;Yes;61-90;8983235;Q4;79.66653045165452
Switzerland;N;Yes;91-120;5192802;Q4;123.5695163016668
Treasury;N;No;0-30;8291309;Q4;36.302370383825235
Treasury;N;No;31-60;8318690;Q4;38.926952528236285
Treasury;N;No;61-90;9497299;Q4;242.70164141502735
Treasury;N;Yes;0-30;8599624;Q4;121.48953465981545
Treasury;N;Yes;120+;8357760;Q4;141.42569725927547
Treasury;N;Yes;31-60;8821088;Q4;131.26825526211084
Treasury;N;Yes;61-90;6682489;Q4;98.27619955648665
Treasury;N;Yes;91-120;6345241;Q4;118.3400772031811
Treasury;N;No;0-30;9746415;Q4;119.68381288964578
Treasury;N;Yes;0-30;2158241;Q4;97.12138133242023
Treasury;N;Yes;120+;2328539;Q4;102.47383152618993
Treasury;N;Yes;31-60;4881204;Q4;125.6384972739452
Treasury;N;Yes;61-90;7654029;Q4;108.12510983129621
Treasury;N;Yes;91-120;8126853;Q4;128.29868822464528
Switzerland;N;No;0-30;31054316;Q4;-102.30794810563168
Switzerland;Y;No;0-30;2326274;Q4;-4.7932173693355935
Switzerland;Y;Yes;31-60;3384926;Q4;119.11470691847892
Belgium;Y;No;0-30;7215578;Q4;131.9627621722436
Belgium;Y;Yes;120+;7632030;Q4;134.02447193190898
Belgium;Y;Yes;31-60;8189389;Q4;145.67506503220443
Belgium;Y;Yes;91-120;5486519;Q4;108.00520316381476
Belgium;Y;No;0-30;10033805;Q4;-70.5970885110427
Belgium;Y;No;31-60;10295830;Q4;109.16783844172616
Belgium;Y;Yes;120+;1106043;Q4;114.48246034766996
Belgium;Y;Yes;91-120;9695193;Q4;105.08503985439957
SwitzerlandHQ;Y;No;0-30;2386078293;Q4;26.757553074205333
SwitzerlandHQ;Y;Yes;0-30;7816967;Q4;128.12998214443576
SwitzerlandHQ;Y;Yes;120+;-503974870;Q4;-516.5685599102134
SwitzerlandHQ;Y;Yes;31-60;2970375;Q4;93.20323234715097
SwitzerlandHQ;Y;Yes;61-90;536956;Q4;137.05135763567915
SwitzerlandHQ;Y;Yes;91-120;-1002257119;Q4;-481.98846628434893
Switzerland;Y;No;0-30;2690396;Q4;215.28930769368276
Switzerland;Y;Yes;0-30;1272423;Q4;115.84705061886058
Switzerland;Y;Yes;31-60;5516162;Q4;128.5074237885498
Treasury;Y;No;0-30;8286098;Q4;26.775069819951106
Treasury;Y;Yes;0-30;6684778;Q4;99.17131686147378
Treasury;Y;No;0-30;1138205618;Q4;79.83338560647968
Treasury;Y;No;31-60;718496;Q4;146.60525333378934
Treasury;Y;Yes;0-30;29602177;Q4;89.01319437608431
Treasury;Y;Yes;120+;16659000;Q4;135.96922418890264
Treasury;Y;Yes;31-60;10256606;Q4;118.40444438584403
Treasury;Y;Yes;61-90;9443937;Q4;103.5898805586483
Treasury;Y;Yes;91-120;9501816;Q4;145.34602814669466
Switzerland;Y;No;0-30;460500893;Q4;-310.81554518654275
Switzerland;Y;No;91-120;8519204;Q4;176.45590075299336
Switzerland;Y;Yes;0-30;-8310290;Q4;-562.188237990402
Switzerland;Y;Yes;120+;968436868;Q4;115.9642099807835
Switzerland;Y;Yes;31-60;29468052;Q4;97.19248234160104
Switzerland;Y;Yes;61-90;22588621;Q4;141.08194052135252
Switzerland;Y;Yes;91-120;19412612;Q4;139.61510319784887
Switzerland;Y;No;0-30;7904373;Q4;-123.15663482199612
Switzerland;Y;No;31-60;13184745;Q4;132.53856140780323
Switzerland;Y;Yes;0-30;5221927;Q4;110.0626767531102
Switzerland;Y;Yes;120+;7401165;Q4;106.4497527313901
Switzerland;Y;Yes;31-60;739538;Q4;104.70361941630608
Switzerland;Y;Yes;61-90;3972825;Q4;127.22413492771584
Switzerland;Y;Yes;91-120;4566692;Q4;116.44600022538516
Switzerland;Y;No;0-30;198453066;Q4;-10.586879626740838
Switzerland;Y;No;31-60;1798064;Q4;148.33290837276678
Switzerland;Y;Yes;0-30;6443546;Q4;123.33313987161313
Switzerland;Y;Yes;120+;-6762750;Q4;-504.91447397072494
Switzerland;Y;Yes;31-60;11425860;Q4;129.3654914417968
Switzerland;Y;Yes;61-90;2939835;Q4;123.73755824739602
Switzerland;Y;Yes;91-120;2603857;Q4;103.3304088195068
Switzerland;Y;No;0-30;40451447;Q4;34.88390790731508
Switzerland;Y;No;31-60;36105181;Q4;196.56577298407535
Switzerland;Y;No;61-90;663960;Q4;-42.335994235783765
Switzerland;Y;Yes;120+;6752087;Q4;80.83889498721094
Switzerland;Y;Yes;61-90;1345188;Q4;111.47446168127175
Switzerland;Y;Yes;91-120;4087390;Q4;121.17468146483905
Switzerland;Y;No;0-30;10198669;Q4;68.04563439475956
France;N;No;0-30;6960902;Q4;7.645340792481466
France;N;Yes;120+;198289;Q4;122.35616609233263
France;N;Yes;91-120;6932402;Q4;151.69598675758036
Others;N;No;31-60;6488562;Q4;145.22725118675766
Others;N;Yes;61-90;1910620;Q4;120.48867134047127
Others;N;No;31-60;4299672;Q4;169.4269666545191
Italy;N;Yes;120+;2042343;Q4;124.8223192078729
Iberia;Y;No;0-30;5453776;Q4;-157.3423771505962
Iberia;Y;No;31-60;531182;Q4;47.12786060764178
Iberia;Y;Yes;61-90;7441631;Q4;132.16595873388033
France;Y;No;0-30;21999089;Q4;71.9071900794839
France;Y;Yes;120+;8024052;Q4;82.68601231867527
France;Y;Yes;31-60;9158372;Q4;140.81782719147523
France;Y;Yes;91-120;7139186;Q4;123.82533955017892
France;Y;No;0-30;12170994;Q4;1.379317117581575
France;Y;Yes;120+;4493572;Q4;98.26622490013978
France;Y;Yes;120+;5935183;Q4;121.52959361887574
France;Y;No;0-30;17904954;Q4;-61.176331260278424
France;Y;No;0-30;4790090;Q4;-138.5140952801008
France;Y;Yes;120+;598063;Q4;67.49771938068947
Others;Y;No;0-30;6472623;Q4;-58.79996695538343
UK;Y;No;0-30;18914350;Q4;-9.505971785866425
UK;Y;Yes;120+;2888924;Q4;88.26644616589813
Adriatic;N;No;0-30;9022145;Q4;83.52875266308467
Adriatic;N;Yes;31-60;6262278;Q4;107.3971769483877
Adriatic;N;No;0-30;5831267;Q4;72.86923772514282
Adriatic;N;Yes;0-30;8327053;Q4;87.70812766752445
Adriatic;N;No;0-30;12561600;Q4;16.802435599377226
Adriatic;N;No;31-60;12088147;Q4;94.57824087807336
Adriatic;N;Yes;0-30;1194244;Q4;134.93849438708008
Adriatic;N;Yes;120+;7624589;Q4;117.85912483421589
Adriatic;N;Yes;31-60;3161050;Q4;119.04598787411183
Adriatic;N;Yes;61-90;2660567;Q4;118.37584146640013
Adriatic;N;Yes;91-120;8870924;Q4;128.14453981662692
CISregion;N;No;0-30;870448;Q4;5.2427272262266005
CISregion;N;Yes;120+;2308685;Q4;93.9986969231553
CISregion;N;Yes;31-60;8464575;Q4;102.07508633845869
Adriatic;Y;No;0-30;2483771;Q4;-61.196528776899434
Adriatic;Y;No;0-30;10023535;Q4;41.32785951565478
Adriatic;Y;No;0-30;6482735;Q4;-55.687561764229606
Adriatic;Y;No;0-30;5723711;Q4;207.27307335759005
CISregion;Y;No;0-30;12098986;Q4;47.26860282583055
CISregion;Y;Yes;120+;9183563;Q4;129.99544188119017
CISregion;Y;Yes;31-60;10661273;Q4;66.82426698819746
Treasury;Y;Yes;120+;8463537;Q4;134.02784647299558
Treasury;Y;Yes;31-60;4345547;Q4;132.7954706297713
Switzerland;Y;Yes;31-60;8132330;Q4;129.69399238912075
Switzerland;Y;Yes;31-60;4007872;Q4;93.26063999959155
Switzerland;Y;No;0-30;8083092;Q4;119.70373292715045
Switzerland;Y;No;0-30;18039255;Q4;-8.179699305332651
Others;N;Yes;120+;2306405;Q4;106.17053067123675
UK;Y;No;0-30;25428204;Q4;93.47048959343402
UK;Y;Yes;120+;6037714;Q4;112.96385754839343
Italy;Y;No;0-30;7427743;Q4;70.51308655270856
Iberia;Y;No;0-30;13829532;Q4;93.98167445931513
Austria;Y;Yes;0-30;4921730;Q4;86.44867606396998
Treasury;Y;Yes;0-30;15751997;Q4;111.72392671941532
Treasury;Y;Yes;120+;8696562;Q4;105.89206826046279
Germany;N;No;0-30;9600392;Q4;9.631915605078639
