nTrades,ROI,PeakPerformance,MeanReturn,MaxLoss,MaxGain,AvgGain,AvgLoss,MaxDrawdown,SharpeRatio,PosReturnPercent,Informed
6,-0.01,0,-0.0001,-0.02,0.02,0.01,-0.01,0.02,-0.36,0.33,0.0
3,-0.04,0,-0.0003,-0.04,0.01,0.01,-0.02,0.05,-1.36,0.33,0.0
3,-0,0,-0,-0.02,0.02,0.02,-0.01,0.02,-0.26,0.33,0.0
9,0.02,0.02,0.0001,-0.02,0.05,0.02,-0.01,0.05,0.36,0.44,0.0
3,-0.04,0,-0.0003,-0.06,0.01,0.01,-0.06,0.06,-1.02,0.67,0.0
3,-0.08,0,-0.0007,-0.09,0.01,0.01,-0.09,0.09,-1.24,0.67,0.0
6,-0.04,0.01,-0.0003,-0.04,0.02,0.01,-0.02,0.07,-0.97,0.5,0.0
6,-0.01,0.01,-0.0001,-0.02,0.01,0,-0.01,0.02,-0.95,0.5,0.0
6,-0.01,0,-0.0001,-0.01,0.01,0.01,-0.01,0.02,-0.94,0.33,0.0
2,0,0,0,-0.02,0.02,0.02,-0.02,0.02,0.13,0.5,0.0
5,-0.04,0,-0.0003,-0.02,0.01,0.01,-0.01,0.04,-1.79,0.2,0.0
5,-0.05,0,-0.0004,-0.02,0,0,-0.01,0.05,-2.49,0.2,0.0
6,-0.04,0,-0.0003,-0.03,0.01,0.01,-0.01,0.04,-1.62,0.33,0.0
6,-0.05,0,-0.0005,-0.03,0.01,0.01,-0.01,0.05,-2.01,0.17,0.0
4,-0.09,0,-0.0007,-0.03,0,0,-0.02,0.09,-2.67,0,0.0
5,0.15,0.15,0.0012,-0.05,0.21,0.11,-0.02,0.06,1,0.4,0.0
5,0.23,0.23,0.0019,-0.01,0.21,0.06,-0.01,0.01,1.56,0.8,0.0
6,-0.02,0.01,-0.0001,-0.01,0.02,0.01,-0.01,0.03,-0.84,0.33,0.0
5,-0.04,0.02,-0.0003,-0.03,0.01,0.01,-0.02,0.06,-1.53,0.4,0.0
5,0,0.02,0,-0.01,0.02,0.01,-0.01,0.02,0.27,0.6,0.0
6,0.04,0.04,0.0003,-0.03,0.03,0.02,-0.02,0.04,1.11,0.67,0.0
6,-0.09,0,-0.0007,-0.04,0,0,-0.01,0.09,-2.69,0,0.0
5,-0.02,0.01,-0.0002,-0.02,0,0,-0.01,0.03,-1.63,0.4,0.0
6,0.13,0.15,0.0011,-0.01,0.08,0.04,-0.01,0.02,2.09,0.67,0.0
6,0.04,0.07,0.0004,-0.02,0.04,0.04,-0.01,0.03,1.14,0.33,0.0
9,0.08,0.18,0.0007,-0.1,0.29,0.08,-0.04,0.11,0.38,0.44,0.0
9,0.13,0.15,0.0011,-0.06,0.27,0.09,-0.02,0.12,0.67,0.33,0.0
5,-0.08,0,-0.0007,-0.03,0,0,-0.02,0.08,-2.87,0.2,0.0
6,-0.06,0.01,-0.0005,-0.05,0.01,0.01,-0.03,0.08,-1.58,0.5,0.0
6,-0.04,0.03,-0.0003,-0.07,0.01,0.01,-0.04,0.07,-0.8,0.67,0.0
6,-0.01,0,-0.0001,-0.02,0.03,0.02,-0.01,0.05,-0.39,0.33,0.0
4,0.14,0.14,0.0011,0,0.11,0.03,0,0,1.81,1,0.0
4,0.14,0.14,0.0012,0,0.11,0.03,0,0,1.77,1,0.0
6,-0.04,0,-0.0003,-0.02,0.02,0.01,-0.02,0.06,-1.42,0.33,0.0
6,0.03,0.03,0.0002,-0.02,0.07,0.04,-0.01,0.04,0.57,0.33,0.0
6,-0.05,0,-0.0004,-0.02,0,0,-0.01,0.05,-2.92,0,0.0
3,0.01,0.04,0.0001,-0.02,0.03,0.02,-0.02,0.02,0.41,0.67,0.0
3,-0.03,0.02,-0.0003,-0.03,0.02,0.02,-0.02,0.05,-1.18,0.33,0.0
5,-0.12,0.02,-0.001,-0.13,0.02,0.01,-0.07,0.14,-1.3,0.6,0.0
6,-0.02,0.01,-0.0001,-0.01,0.01,0.01,-0.01,0.03,-1.15,0.33,0.0
6,0,0.01,0,-0.02,0.01,0.01,-0.01,0.02,0,0.5,0.0
8,-0.01,0.02,-0.0001,-0.02,0.04,0.03,-0.01,0.03,-0.2,0.25,0.0
6,0.09,0.09,0.0007,-0,0.04,0.02,-0,0,2.36,0.67,0.0
6,-0.01,0.02,-0.0001,-0.02,0.02,0.01,-0.01,0.03,-0.43,0.5,0.0
13,-0.28,0.06,-0.0023,-0.31,0.03,0.01,-0.06,0.34,-1.33,0.54,0.0
13,-0.26,0.05,-0.0021,-0.3,0.02,0.01,-0.05,0.31,-1.24,0.54,0.0
5,0.13,0.13,0.001,-0.01,0.1,0.03,-0.01,0.01,1.75,0.8,0.0
8,-0.01,0.01,-0,-0.02,0.01,0.01,-0.01,0.02,-0.28,0.62,0.0
8,0.02,0.02,0.0001,-0.01,0.01,0.01,-0,0.01,1.25,0.62,0.0
3,0.03,0.03,0.0003,-0,0.03,0.02,-0,0,1.62,0.67,0.0
3,0,0,0,-0,0,0,-0,0,1.7,0.67,0.0
1,0.03,0.03,0.0003,0,0.03,0.03,0,0,1.46,1,0.0
5,-0.08,0.04,-0.0006,-0.06,0.02,0.02,-0.04,0.11,-1.42,0.4,0.0
5,-0.01,0.06,-0.0001,-0.08,0.04,0.02,-0.04,0.08,-0.23,0.6,0.0
3,0.02,0.02,0.0001,-0.01,0.02,0.01,-0.01,0.01,0.92,0.67,0.0
4,0.12,0.12,0.001,-0,0.06,0.04,-0,0,2.29,0.75,0.0
4,0.06,0.06,0.0005,-0.01,0.04,0.02,-0.01,0.01,1.88,0.75,0.0
3,0.04,0.04,0.0003,0,0.02,0.01,0,0,2.42,1,0.0
3,0.03,0.03,0.0002,-0.01,0.03,0.02,-0.01,0.01,1.37,0.67,0.0
7,0.02,0.03,0.0001,-0.01,0.02,0.01,-0.01,0.01,0.87,0.43,0.0
8,0.02,0.03,0.0002,-0.01,0.02,0.01,-0.01,0.01,1.15,0.62,0.0
8,0.02,0.04,0.0002,-0.02,0.02,0.01,-0.01,0.02,0.98,0.75,0.0
1,-0.01,0,-0.0001,-0.01,0,0,-0.01,0.01,-1.46,0,0.0
1,-0.04,0,-0.0003,-0.04,0,0,-0.04,0.04,-1.46,0,0.0
43,-0.4,0,-0.0033,-0.07,0.06,0.01,-0.02,0.42,-3.6,0.35,0.0
47,-0.6,0.02,-0.005,-0.17,0.04,0.01,-0.03,0.62,-3.6,0.38,0.0
47,-0.21,0.05,-0.0018,-0.14,0.07,0.02,-0.02,0.27,-1.52,0.4,0.0
48,-0.01,0.25,-0.0001,-0.16,0.15,0.02,-0.02,0.26,-0.05,0.44,0.0
56,0.52,0.52,0.0043,-0.05,0.31,0.03,-0.01,0.08,2.1,0.52,0.0
46,-0.25,0.03,-0.0021,-0.13,0.07,0.01,-0.03,0.28,-1.72,0.5,0.0
50,-0.4,0.11,-0.0033,-0.32,0.06,0.02,-0.03,0.51,-1.59,0.4,0.0
52,-0.4,0.01,-0.0033,-0.15,0.13,0.02,-0.03,0.56,-2.21,0.42,0.0
52,0.22,0.4,0.0018,-0.17,0.31,0.03,-0.02,0.18,0.85,0.56,0.0
46,-0.24,0,-0.002,-0.1,0.07,0.02,-0.02,0.28,-1.8,0.41,0.0
57,-0.15,0,-0.0012,-0.08,0.04,0.01,-0.02,0.19,-1.25,0.49,0.0
42,-0.61,0.01,-0.0051,-0.22,0.02,0.01,-0.03,0.63,-3.25,0.4,0.0
42,-0.12,0.04,-0.001,-0.08,0.08,0.02,-0.02,0.2,-1.08,0.4,0.0
51,0.28,0.34,0.0023,-0.06,0.3,0.03,-0.02,0.15,1.2,0.49,0.0
44,0.26,0.33,0.0021,-0.08,0.15,0.03,-0.02,0.12,1.66,0.55,0.0
53,-0.39,0.05,-0.0032,-0.25,0.04,0.01,-0.03,0.46,-1.89,0.47,0.0
53,-0.23,0.05,-0.0019,-0.1,0.05,0.02,-0.03,0.29,-1.55,0.49,0.0
43,0.18,0.28,0.0015,-0.05,0.25,0.02,-0.02,0.1,0.94,0.53,0.0
53,-0.4,0.08,-0.0033,-0.31,0.08,0.02,-0.03,0.54,-1.69,0.43,0.0
49,-0.25,0.05,-0.0021,-0.28,0.15,0.02,-0.03,0.32,-1.06,0.49,0.0
51,0.27,0.29,0.0022,-0.11,0.16,0.03,-0.02,0.17,1.34,0.55,0.0
52,0.01,0.01,0.0001,-0.06,0.32,0.03,-0.02,0.39,0.04,0.37,0.0
43,-0.05,0.1,-0.0004,-0.09,0.06,0.02,-0.02,0.15,-0.43,0.53,0.0
48,-0.25,0.05,-0.0021,-0.1,0.04,0.01,-0.02,0.3,-2.1,0.5,0.0
54,0.08,0.22,0.0006,-0.1,0.26,0.03,-0.02,0.34,0.33,0.46,0.0
45,0.26,0.26,0.0021,-0.05,0.33,0.03,-0.01,0.21,1.05,0.42,0.0
56,0.39,0.39,0.0032,-0.05,0.3,0.03,-0.01,0.1,1.65,0.54,0.0
44,-0.2,0.04,-0.0016,-0.06,0.04,0.01,-0.02,0.24,-2.19,0.45,0.0
41,0.21,0.21,0.0018,-0.07,0.11,0.02,-0.02,0.18,1.64,0.51,0.0
50,-0.02,0.08,-0.0002,-0.13,0.08,0.02,-0.02,0.16,-0.13,0.52,0.0
37,0,0.08,0,-0.07,0.04,0.02,-0.02,0.08,0.02,0.51,0.0
36,0.23,0.23,0.0019,-0.08,0.19,0.03,-0.02,0.12,1.36,0.53,0.0
58,-0.08,0.39,-0.0007,-0.3,0.11,0.02,-0.03,0.46,-0.32,0.53,0.0
49,-0.16,0.05,-0.0013,-0.07,0.07,0.02,-0.03,0.32,-1.19,0.53,0.0
57,-0.28,0.01,-0.0023,-0.08,0.06,0.01,-0.02,0.3,-1.98,0.47,0.0
38,0.09,0.12,0.0008,-0.04,0.13,0.02,-0.01,0.12,0.81,0.47,0.0
56,-0.11,0.04,-0.0009,-0.12,0.07,0.02,-0.02,0.16,-0.83,0.43,0.0
47,0.45,0.45,0.0038,-0.05,0.33,0.03,-0.01,0.16,1.81,0.47,0.0
47,-0.11,0.09,-0.0009,-0.14,0.06,0.02,-0.02,0.2,-0.78,0.53,0.0
44,-0.16,0.05,-0.0013,-0.06,0.06,0.02,-0.02,0.21,-1.71,0.36,0.0
42,-0.43,0,-0.0036,-0.07,0.06,0.01,-0.03,0.43,-3.3,0.4,0.0
46,-0.29,0.08,-0.0024,-0.21,0.12,0.02,-0.02,0.49,-1.43,0.37,0.0
53,0.24,0.24,0.002,-0.08,0.22,0.03,-0.02,0.23,1.14,0.45,0.0
53,0.05,0.15,0.0004,-0.1,0.09,0.02,-0.02,0.16,0.36,0.49,0.0
41,-0.27,0.02,-0.0022,-0.31,0.11,0.02,-0.02,0.31,-1.15,0.39,0.0
53,0.18,0.18,0.0015,-0.07,0.32,0.03,-0.02,0.24,0.71,0.47,0.0
46,0.27,0.27,0.0023,-0.05,0.24,0.03,-0.01,0.11,1.42,0.46,0.0
50,-0.01,0.05,-0.0001,-0.06,0.06,0.01,-0.01,0.12,-0.12,0.46,0.0
56,0.11,0.2,0.0009,-0.09,0.11,0.02,-0.02,0.12,0.78,0.46,0.0
40,-0.26,0,-0.0022,-0.1,0.04,0.01,-0.02,0.26,-2.21,0.45,0.0
55,0.34,0.46,0.0028,-0.05,0.32,0.04,-0.01,0.15,1.34,0.36,0.0
52,-0.11,0.06,-0.0009,-0.12,0.05,0.02,-0.02,0.22,-0.78,0.42,0.0
56,-0.45,0,-0.0037,-0.15,0.06,0.02,-0.02,0.45,-2.6,0.38,0.0
46,0,0.06,0,-0.06,0.07,0.02,-0.02,0.13,0.01,0.5,0.0
48,0.04,0.12,0.0003,-0.05,0.12,0.02,-0.02,0.17,0.31,0.48,0.0
44,-0.29,0.01,-0.0024,-0.09,0.04,0.01,-0.02,0.34,-2.58,0.39,0.0
55,-0.19,0.07,-0.0016,-0.16,0.06,0.01,-0.02,0.3,-1.19,0.55,0.0
48,0.03,0.15,0.0003,-0.05,0.12,0.02,-0.02,0.12,0.24,0.48,0.0
49,0.03,0.05,0.0003,-0.06,0.12,0.02,-0.02,0.2,0.25,0.53,0.0
54,-0.14,0.07,-0.0012,-0.05,0.07,0.02,-0.02,0.22,-1.32,0.43,0.0
54,-0.29,0.06,-0.0024,-0.28,0.04,0.01,-0.02,0.36,-1.35,0.5,0.0
55,-0.24,0.05,-0.002,-0.09,0.04,0.01,-0.02,0.29,-1.93,0.45,0.0
48,-0.19,0.13,-0.0016,-0.09,0.07,0.02,-0.02,0.32,-1.29,0.46,0.0
42,-0.48,0.03,-0.004,-0.33,0.04,0.01,-0.03,0.52,-1.97,0.45,0.0
51,-0.07,0,-0.0006,-0.15,0.17,0.03,-0.02,0.37,-0.39,0.37,0.0
52,-0.13,0.01,-0.0011,-0.04,0.3,0.03,-0.02,0.43,-0.58,0.27,0.0
60,-0.8,0,-0.0066,-0.3,0.05,0.01,-0.04,0.8,-3.09,0.47,0.0
49,0.92,0.92,0.0076,-0.06,0.69,0.05,-0.02,0.09,1.85,0.55,0.0
44,0.23,0.36,0.0019,-0.07,0.17,0.02,-0.02,0.13,1.38,0.55,0.0
48,-0.04,0.11,-0.0003,-0.1,0.08,0.02,-0.02,0.15,-0.26,0.52,0.0
57,-0.26,0.09,-0.0022,-0.14,0.09,0.01,-0.03,0.35,-1.48,0.53,0.0
44,-0.57,0.01,-0.0047,-0.25,0.1,0.01,-0.03,0.58,-2.73,0.48,0.0
48,-0.29,0,-0.0024,-0.09,0.04,0.01,-0.02,0.29,-2.47,0.4,0.0
58,0.32,0.4,0.0027,-0.09,0.34,0.03,-0.02,0.16,1.17,0.53,0.0
41,0.22,0.22,0.0018,-0.04,0.08,0.03,-0.02,0.1,1.73,0.49,0.0
45,-0.01,0.29,-0.0001,-0.15,0.04,0.02,-0.02,0.29,-0.04,0.58,0.0
53,0.02,0.03,0.0002,-0.09,0.07,0.02,-0.02,0.12,0.2,0.49,0.0
46,-0.09,0.01,-0.0007,-0.07,0.05,0.01,-0.02,0.19,-0.8,0.48,0.0
48,0.23,0.28,0.0019,-0.08,0.34,0.03,-0.02,0.17,0.87,0.52,0.0
53,-0.39,0.05,-0.0032,-0.15,0.08,0.02,-0.02,0.44,-2.5,0.36,0.0
54,-0.01,0.33,-0,-0.15,0.34,0.02,-0.03,0.34,-0.02,0.56,0.0
46,0.13,0.13,0.0011,-0.04,0.07,0.02,-0.01,0.15,1.16,0.48,0.0
43,0.08,0.25,0.0007,-0.06,0.07,0.02,-0.01,0.17,0.84,0.53,0.0
56,0.09,0.12,0.0007,-0.06,0.11,0.02,-0.02,0.12,0.61,0.54,0.0
44,0.13,0.15,0.0011,-0.31,0.34,0.03,-0.03,0.37,0.4,0.55,0.0
51,-0.01,0.05,-0.0001,-0.07,0.2,0.02,-0.02,0.19,-0.06,0.47,0.0
59,0.31,0.31,0.0026,-0.06,0.06,0.02,-0.01,0.06,2.64,0.58,0.0
51,0.03,0.1,0.0002,-0.07,0.28,0.02,-0.02,0.19,0.12,0.49,0.0
43,0.47,0.49,0.0039,-0.12,0.23,0.03,-0.03,0.12,2.2,0.7,0.0
49,-0.15,0.01,-0.0012,-0.1,0.07,0.02,-0.02,0.22,-1.21,0.43,0.0
52,0.01,0.11,0.0001,-0.06,0.09,0.02,-0.02,0.23,0.06,0.52,0.0
54,0.25,0.29,0.0021,-0.06,0.31,0.03,-0.02,0.16,1.02,0.44,0.0
45,-0.34,0,-0.0028,-0.09,0.05,0.01,-0.02,0.34,-2.73,0.4,0.0
45,0.69,0.79,0.0057,-0.07,0.68,0.05,-0.01,0.09,1.46,0.47,0.0
45,0.69,0.74,0.0057,-0.05,0.58,0.04,-0.01,0.07,1.68,0.51,0.0
52,1.24,1.24,0.0103,-0.08,0.63,0.07,-0.02,0.11,2.41,0.5,0.0
45,0.19,0.19,0.0015,-0.05,0.13,0.02,-0.01,0.05,1.48,0.51,0.0
54,-0.48,0,-0.0039,-0.16,0.05,0.01,-0.02,0.53,-3.02,0.37,0.0
51,-0.2,0.05,-0.0017,-0.06,0.09,0.02,-0.01,0.26,-1.81,0.33,0.0
43,-0.09,0,-0.0008,-0.2,0.15,0.02,-0.02,0.26,-0.48,0.42,0.0
44,-0.3,0,-0.0025,-0.08,0.05,0.01,-0.02,0.31,-2.68,0.39,0.0
36,0.3,0.34,0.0025,-0.09,0.11,0.03,-0.02,0.15,2.05,0.58,0.0
60,-0.19,0.02,-0.0016,-0.12,0.17,0.02,-0.02,0.21,-1.14,0.42,0.0
56,0.39,0.5,0.0032,-0.06,0.34,0.02,-0.01,0.14,1.54,0.57,0.0
63,-0.18,0.15,-0.0015,-0.29,0.3,0.03,-0.02,0.59,-0.55,0.41,0.0
52,0.07,0.21,0.0006,-0.1,0.19,0.03,-0.02,0.15,0.35,0.42,0.0
52,-0.08,0.13,-0.0007,-0.08,0.11,0.02,-0.02,0.21,-0.59,0.4,0.0
52,-0.07,0.12,-0.0006,-0.09,0.13,0.02,-0.01,0.2,-0.49,0.38,0.0
49,-0.6,0,-0.005,-0.31,0.09,0.02,-0.04,0.62,-2.19,0.39,0.0
45,-0.96,0.03,-0.0079,-0.31,0.03,0.01,-0.04,0.99,-3.15,0.42,0.0
51,-0.02,0.15,-0.0002,-0.15,0.1,0.02,-0.02,0.17,-0.11,0.53,0.0
52,-0.05,0.01,-0.0004,-0.06,0.07,0.02,-0.02,0.14,-0.43,0.48,0.0
48,-0.01,0.12,-0.0001,-0.13,0.06,0.02,-0.02,0.21,-0.09,0.52,0.0
57,0.14,0.14,0.0011,-0.03,0.08,0.01,-0.01,0.08,1.39,0.56,0.0
44,-0.67,0,-0.0055,-0.28,0.05,0.02,-0.03,0.67,-2.92,0.34,0.0
44,-0.65,0.06,-0.0054,-0.31,0.06,0.02,-0.04,0.71,-2.54,0.41,0.0
42,-0.39,0,-0.0032,-0.05,0.05,0.01,-0.02,0.41,-4.55,0.31,0.0
47,-0.27,0,-0.0022,-0.08,0.12,0.02,-0.02,0.42,-2.13,0.34,0.0
47,-0.41,0,-0.0034,-0.11,0.08,0.02,-0.02,0.41,-3.14,0.3,0.0
50,0.11,0.11,0.0009,-0.05,0.12,0.01,-0.01,0.09,1.01,0.52,0.0
49,-0.14,0.12,-0.0011,-0.1,0.23,0.03,-0.02,0.36,-0.61,0.39,0.0
44,-0.02,0.09,-0.0002,-0.05,0.06,0.02,-0.02,0.11,-0.21,0.5,0.0
44,0.12,0.12,0.001,-0.09,0.05,0.02,-0.02,0.15,1.13,0.64,0.0
54,0.1,0.1,0.0008,-0.06,0.15,0.02,-0.01,0.15,0.76,0.46,0.0
52,-0.13,0.04,-0.0011,-0.07,0.2,0.02,-0.02,0.35,-0.74,0.37,0.0
46,-0.37,0.02,-0.0031,-0.29,0.08,0.02,-0.02,0.4,-1.65,0.37,0.0
46,-0.26,0.2,-0.0022,-0.35,0.11,0.02,-0.03,0.49,-0.95,0.48,0.0
49,0.23,0.34,0.0019,-0.06,0.35,0.04,-0.01,0.18,0.87,0.35,0.0
46,-0.52,0.15,-0.0043,-0.29,0.09,0.02,-0.03,0.67,-2.03,0.35,0.0
52,0.15,0.27,0.0012,-0.09,0.31,0.03,-0.02,0.21,0.6,0.46,0.0
58,-0.02,0.07,-0.0002,-0.05,0.08,0.02,-0.02,0.16,-0.15,0.45,0.0
42,0.11,0.19,0.0009,-0.08,0.28,0.03,-0.02,0.19,0.46,0.43,0.0
55,-0.01,0.08,-0.0001,-0.15,0.12,0.02,-0.03,0.21,-0.07,0.55,0.0
48,0.09,0.12,0.0007,-0.06,0.2,0.02,-0.02,0.12,0.52,0.5,0.0
48,-0.04,0.07,-0.0003,-0.05,0.09,0.02,-0.02,0.14,-0.37,0.46,0.0
50,-0.57,0,-0.0047,-0.27,0.06,0.01,-0.03,0.58,-2.77,0.38,0.0
50,-0.46,0,-0.0038,-0.17,0.02,0.01,-0.02,0.46,-3.36,0.4,0.0
60,0.19,0.21,0.0016,-0.07,0.29,0.02,-0.02,0.21,0.83,0.52,0.0
44,0.95,1,0.0078,-0.03,0.66,0.04,-0.01,0.05,2.05,0.64,0.0
61,-0.08,0.03,-0.0006,-0.07,0.22,0.02,-0.02,0.33,-0.38,0.46,0.0
61,-0.34,0,-0.0028,-0.05,0.18,0.02,-0.02,0.48,-2.05,0.3,0.0
44,0.02,0.07,0.0001,-0.05,0.09,0.02,-0.02,0.27,0.14,0.5,0.0
44,0.27,0.27,0.0023,-0.03,0.13,0.03,-0.01,0.13,1.86,0.5,0.0
53,0.14,0.26,0.0011,-0.08,0.22,0.02,-0.02,0.12,0.72,0.49,0.0
41,-0.36,0.02,-0.0029,-0.25,0.05,0.01,-0.03,0.38,-1.79,0.51,0.0
41,-0.26,0.1,-0.0022,-0.22,0.1,0.02,-0.02,0.36,-1.38,0.39,0.0
42,0.14,0.14,0.0012,-0.06,0.11,0.02,-0.02,0.1,1.04,0.52,0.0
42,0.04,0.05,0.0003,-0.06,0.12,0.03,-0.02,0.19,0.27,0.43,0.0
51,0.38,0.38,0.0031,-0.05,0.32,0.03,-0.02,0.1,1.6,0.57,0.0
51,0.5,0.5,0.0041,-0.07,0.19,0.02,-0.02,0.07,2.45,0.63,0.0
55,0.14,0.17,0.0011,-0.05,0.17,0.02,-0.01,0.16,0.89,0.53,0.0
55,-0.19,0.05,-0.0016,-0.05,0.04,0.01,-0.01,0.24,-1.98,0.4,0.0
47,-0.3,0.1,-0.0025,-0.1,0.03,0.01,-0.02,0.4,-2.55,0.45,0.0
50,0.25,0.25,0.002,-0.08,0.33,0.04,-0.02,0.28,0.91,0.42,0.0
50,0.04,0.12,0.0003,-0.06,0.15,0.03,-0.02,0.4,0.23,0.4,0.0
46,0.01,0.08,0.0001,-0.11,0.08,0.02,-0.02,0.13,0.06,0.57,0.0
44,-0.54,0.01,-0.0045,-0.3,0.04,0.01,-0.04,0.55,-2.3,0.55,0.0
44,-0.1,0.04,-0.0008,-0.09,0.08,0.02,-0.02,0.15,-0.74,0.52,0.0
59,0.08,0.19,0.0007,-0.06,0.15,0.02,-0.02,0.11,0.55,0.49,0.0
53,-0.35,0.02,-0.0029,-0.19,0.07,0.02,-0.02,0.37,-1.97,0.4,0.0
53,-0.38,0.03,-0.0032,-0.2,0.06,0.02,-0.03,0.41,-1.75,0.49,0.0
50,-0.02,0.08,-0.0002,-0.07,0.03,0.01,-0.01,0.11,-0.23,0.52,0.0
50,0.11,0.11,0.0009,-0.06,0.05,0.02,-0.01,0.1,1.13,0.54,0.0
48,0.01,0.05,0.0001,-0.09,0.07,0.02,-0.02,0.2,0.05,0.42,0.0
48,0.11,0.11,0.0009,-0.05,0.11,0.02,-0.01,0.1,0.89,0.42,0.0
48,0.1,0.1,0.0008,-0.05,0.12,0.02,-0.02,0.09,0.82,0.56,0.0
51,-0.12,0.24,-0.001,-0.29,0.05,0.02,-0.02,0.37,-0.52,0.49,0.0
51,-0.29,0.13,-0.0024,-0.35,0.04,0.02,-0.03,0.44,-1.13,0.51,0.0
47,-0.21,0.02,-0.0017,-0.06,0.12,0.01,-0.02,0.23,-1.65,0.4,0.0
47,-0.32,0.01,-0.0026,-0.13,0.05,0.01,-0.02,0.33,-2.45,0.38,0.0
48,0.73,0.83,0.0061,-0.1,0.64,0.05,-0.02,0.16,1.57,0.5,0.0
53,-0.06,0.15,-0.0005,-0.05,0.06,0.01,-0.02,0.2,-0.54,0.49,0.0
49,0.2,0.27,0.0016,-0.06,0.17,0.02,-0.01,0.07,1.37,0.59,0.0
52,-0.32,0.04,-0.0026,-0.28,0.08,0.02,-0.03,0.36,-1.43,0.46,0.0
47,-0.05,0.06,-0.0004,-0.04,0.05,0.02,-0.01,0.18,-0.51,0.43,0.0
12,-0.08,0.02,-0.0006,-0.04,0.04,0.02,-0.01,0.1,-1.93,0.17,0.0
12,-0.1,0.01,-0.0008,-0.06,0.02,0.01,-0.02,0.11,-2.04,0.33,0.0
17,0.05,0.09,0.0004,-0.03,0.06,0.01,-0.02,0.05,0.9,0.65,0.0
17,0.09,0.1,0.0008,-0.06,0.04,0.02,-0.01,0.06,1.43,0.59,0.0
17,-0.02,0.05,-0.0002,-0.07,0.05,0.01,-0.02,0.09,-0.3,0.65,0.0
16,-0.09,0.08,-0.0007,-0.1,0.03,0.01,-0.02,0.16,-1.07,0.56,0.0
16,0.13,0.19,0.0011,-0.05,0.05,0.02,-0.02,0.06,2.03,0.69,0.0
16,-0.07,0.08,-0.0006,-0.06,0.03,0.01,-0.02,0.15,-1.15,0.56,0.0
17,-0.03,0.02,-0.0003,-0.05,0.03,0.01,-0.02,0.1,-0.53,0.59,0.0
17,-0.09,0.01,-0.0008,-0.06,0.04,0.01,-0.02,0.1,-1.41,0.47,0.0
17,-0.01,0.04,-0.0001,-0.02,0.04,0.01,-0.01,0.05,-0.21,0.53,0.0
16,-0.11,0,-0.0009,-0.05,0.03,0.01,-0.02,0.12,-1.83,0.38,0.0
16,0.21,0.21,0.0018,-0.05,0.19,0.03,-0.03,0.09,1.49,0.75,0.0
16,0.07,0.07,0.0006,-0.04,0.06,0.02,-0.01,0.06,1.13,0.5,0.0
16,0.21,0.21,0.0017,-0.03,0.09,0.02,-0.02,0.04,2.51,0.75,0.0
15,-0.01,0.08,-0.0001,-0.04,0.07,0.02,-0.01,0.09,-0.17,0.4,0.0
15,-0.08,0,-0.0007,-0.03,0.02,0.01,-0.01,0.08,-1.93,0.33,0.0
19,0.18,0.18,0.0015,-0.03,0.04,0.02,-0.01,0.03,3.26,0.74,0.0
19,0.16,0.16,0.0013,-0.02,0.03,0.01,-0.01,0.02,3.71,0.79,0.0
19,0.11,0.11,0.0009,-0.02,0.03,0.01,-0.01,0.04,2.45,0.68,0.0
13,0.27,0.27,0.0022,-0.03,0.22,0.07,-0.01,0.04,1.69,0.38,0.0
13,0.36,0.36,0.003,-0.05,0.29,0.06,-0.02,0.05,1.73,0.62,0.0
13,0.47,0.47,0.0038,-0.02,0.3,0.06,-0.01,0.02,2.13,0.62,0.0
12,0.02,0.02,0.0002,-0.01,0.02,0.01,-0.01,0.04,0.67,0.5,0.0
12,0.04,0.04,0.0003,-0.02,0.03,0.01,-0.01,0.03,1.03,0.58,0.0
12,0.02,0.08,0.0002,-0.05,0.08,0.03,-0.02,0.07,0.27,0.42,0.0
22,-0.04,0,-0.0004,-0.02,0.02,0.01,-0.01,0.05,-1.08,0.36,0.0
22,-0.01,0,-0,-0.04,0.03,0.01,-0.02,0.1,-0.1,0.55,0.0
18,0.06,0.08,0.0005,-0.03,0.06,0.02,-0.01,0.05,0.99,0.5,0.0
18,0,0,0,-0.03,0.04,0.01,-0.01,0.1,0.08,0.56,0.0
18,-0.01,0.01,-0.0001,-0.04,0.02,0.01,-0.02,0.07,-0.17,0.56,0.0
15,0.02,0.02,0.0002,-0.04,0.07,0.01,-0.02,0.06,0.34,0.6,0.0
15,-0.11,0,-0.0009,-0.05,0.04,0.01,-0.02,0.11,-1.85,0.4,0.0
15,0.09,0.09,0.0007,-0.04,0.1,0.04,-0.01,0.07,0.9,0.4,0.0
18,0.33,0.33,0.0027,-0.06,0.26,0.04,-0.02,0.06,1.77,0.67,0.0
18,0.37,0.37,0.0031,-0.05,0.18,0.04,-0.02,0.06,2.1,0.67,0.0
18,0.32,0.33,0.0026,-0.06,0.33,0.04,-0.02,0.07,1.35,0.56,0.0
15,-0.07,0.03,-0.0006,-0.05,0.03,0.01,-0.02,0.09,-1.27,0.47,0.0
15,-0.07,0.04,-0.0006,-0.04,0.04,0.01,-0.01,0.11,-1.66,0.27,0.0
15,-0.13,0.01,-0.001,-0.08,0.01,0.01,-0.02,0.14,-1.82,0.47,0.0
25,0.03,0.05,0.0003,-0.04,0.03,0.01,-0.01,0.09,0.56,0.6,0.0
